Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Aayiram Kannudaiyalae - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,4,318373,318.373,5.306216667,FALSE,5,classic kollywood,0.518,0.618,2,-7.128,1,0.0966,0.295,0,0.109,0.735,101.088,4,Tamil
Naagamaaga Urumaari - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,5,367506,367.506,6.1251,FALSE,5,classic kollywood,0.545,0.618,9,-6.97,1,0.198,0.445,0,0.0689,0.8,113.553,4,Tamil
Thanjai Muthumari - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,6,357346,357.346,5.955766667,FALSE,4,classic kollywood,0.696,0.654,11,-7.703,0,0.047,0.361,0,0.341,0.788,150.548,3,Tamil
Sathiya Mangalathil - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,7,328053,328.053,5.46755,FALSE,3,classic kollywood,0.582,0.556,3,-7.455,1,0.0682,0.48,0,0.102,0.764,98.288,4,Tamil
Malayanooru Kovil - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,8,315746,315.746,5.262433333,FALSE,4,classic kollywood,0.57,0.731,0,-6.439,0,0.147,0.4,0,0.37,0.863,135.022,4,Tamil
Symphony Logo Music - Language: Tamil; Genre: Amman,B Ganesh Kumar,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,9,54626,54.626,0.910433333,FALSE,2,tamil devotional,0.429,0.484,0,-10.661,1,0.0491,0.0441,0.966,0.335,0.196,90.471,4,Tamil
Mannaanalum - Revival,"T. M. Soundararajan, Tamil Nambi",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,1,248026,248.026,4.133766667,FALSE,0,"classic kollywood,filmi",0.422,0.503,7,-8.792,0,0.0278,0.673,5.27E-05,0.321,0.644,94.433,4,Tamil
Unnai Paadum - Revival,"T. M. Soundararajan, Kuzhanthai Velan",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,2,299293,299.293,4.988216667,FALSE,0,"classic kollywood,filmi",0.392,0.613,5,-7.485,0,0.0361,0.763,8.98E-06,0.25,0.797,91.402,4,Tamil
Andru Ketpavan - Revival,"T. M. Soundararajan, Tamil Nambi",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,3,256200,256.2,4.27,FALSE,0,"classic kollywood,filmi",0.417,0.637,0,-7.714,0,0.0352,0.742,0,0.122,0.921,130.514,4,Tamil
Enthan Kuralil - Revival,"T. M. Soundararajan, Kuzhanthai Velan",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,4,259733,259.733,4.328883333,FALSE,0,"classic kollywood,filmi",0.343,0.504,7,-8.542,1,0.0345,0.697,0.00346,0.14,0.888,99.065,4,Tamil
Enakkum Idam - Revival,"T. M. Soundararajan, Tamil Nambi",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,5,289840,289.84,4.830666667,FALSE,0,"classic kollywood,filmi",0.51,0.577,7,-8.974,0,0.0541,0.625,0.00575,0.118,0.679,138.243,4,Tamil
Karpagame Unaiyandri - Revival,"T. M. Soundararajan, Geethapriyan",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,6,208653,208.653,3.47755,FALSE,0,"classic kollywood,filmi",0.404,0.52,9,-8.327,0,0.0562,0.699,0,0.105,0.796,95.527,4,Tamil
Arumbugal Asainthadum - Revival,"T. M. Soundararajan, Tamil Nambi",T.M.S Mannanalum Revival,T. M. Soundararajan,05-08-2003,2003,1,8,275613,275.613,4.59355,FALSE,0,"classic kollywood,filmi",0.427,0.583,0,-9.979,1,0.0344,0.678,2.00E-05,0.367,0.926,125.953,4,Tamil
Ullam Uruguthaiyya - Original,T. M. Soundararajan,Divine Collections Saravana Bhavane,Sujatha,01-12-2009,2009,1,7,368986,368.986,6.149766667,FALSE,0,"classic kollywood,filmi",0.436,0.315,2,-11.79,1,0.0423,0.887,0,0.174,0.946,173.628,3,Tamil
Karpanai Endralum - Original,T. M. Soundararajan,Divine Collections Saravana Bhavane,Sujatha,01-12-2009,2009,1,8,180560,180.56,3.009333333,FALSE,0,"classic kollywood,filmi",0.563,0.439,6,-11.418,0,0.0426,0.865,0,0.153,0.947,97.769,4,Tamil
Muruganai Koopittu - Original,T. M. Soundararajan,Divine Collections Saravana Bhavane,Sujatha,01-12-2009,2009,1,5,197746,197.746,3.295766667,FALSE,0,"classic kollywood,filmi",0.587,0.473,6,-11.776,1,0.0805,0.466,0,0.144,0.819,104.154,4,Tamil
