Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Mera Satgur Rakhvala,"Manveer Singh Mani, Dharam Seva",Mera Satgur Rakhvala,"Manveer Singh Mani, Dharam Seva",25-03-2021,2021,1,1,226612,226.612,3.776866667,FALSE,14,Unknown,0.75,0.264,11,-9.985,0,0.0343,0.859,0.00159,0.166,0.479,115.993,4,Punjabi
Sirjanhara,Rupinder Handa,Sirjanhara,Rupinder Handa,03-11-2017,2017,1,1,285405,285.405,4.75675,FALSE,9,punjabi pop,0.432,0.655,11,-2.326,0,0.0291,0.745,0,0.0946,0.407,148.337,4,Punjabi
Satguru Hoye Dayaal,Arvindpal Kaur,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,9,316313,316.313,5.271883333,FALSE,33,Unknown,0.588,0.371,8,-11.564,1,0.0276,0.763,0,0.0777,0.345,100.034,4,Punjabi
Ik Shahar Hai,Sukhwinder Singh,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,7,220286,220.286,3.671433333,FALSE,28,"classic bollywood,desi hip hop,desi pop,filmi,modern bollywood",0.548,0.907,9,-5.505,1,0.0631,0.264,6.54E-05,0.148,0.477,82.866,4,Punjabi
Deh Shiva,Diljit Dosanjh,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,6,308157,308.157,5.13595,FALSE,30,"desi pop,filmi,modern bollywood,punjabi pop",0.715,0.629,11,-7.743,0,0.0651,0.246,5.70E-06,0.0864,0.354,112.021,4,Punjabi
Bol Maaye,Nooran Sisters,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,3,301392,301.392,5.0232,FALSE,35,indian folk,0.589,0.754,8,-8.133,0,0.12,0.579,8.92E-06,0.174,0.622,139.825,4,Punjabi
Jioundi Hi,Sukhwinder Singh,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,2,245582,245.582,4.093033333,FALSE,36,"classic bollywood,desi hip hop,desi pop,filmi,modern bollywood",0.619,0.672,11,-6.313,0,0.0787,0.627,0,0.11,0.636,129.943,4,Punjabi
Satguru Nanak Pargateya,Ravneet Singh,Satguru Nanak Pargateya,Ravneet Singh,03-12-2020,2020,1,1,342000,342,5.7,FALSE,3,punjabi pop,0.682,0.509,10,-5.011,0,0.0421,0.266,0,0.114,0.503,80.038,4,Punjabi
Nanak,Roshan Prince,Nanak,Roshan Prince,13-06-2020,2020,1,1,221999,221.999,3.699983333,FALSE,1,punjabi pop,0.603,0.699,6,-5.635,1,0.0435,0.65,0,0.0944,0.67,80.066,4,Punjabi
Mitar Pyare Nu,Late Sh. Dr. Ashok Chopra,Sarvann,"Jatinder Shah, Gurmoh",02-01-2017,2017,1,7,344073,344.073,5.73455,FALSE,13,Unknown,0.646,0.676,10,-7.221,0,0.0298,0.425,0.0167,0.215,0.676,139.98,4,Punjabi
Nanki da Veer,Sunanda Sharma,Nanki da Veer,Sunanda Sharma,06-11-2019,2019,1,1,407592,407.592,6.7932,FALSE,24,"desi pop,modern bollywood,punjabi pop",0.59,0.777,7,-3.967,0,0.064,0.7,0,0.114,0.532,147.867,4,Punjabi
Bhain Nanki,"Jatinder Jeetu, Sukhpal Sukh",Bhain Nanki,Jatinder Jeetu,09-11-2019,2019,1,1,235562,235.562,3.926033333,FALSE,2,Unknown,0.508,0.813,6,-3.528,1,0.0893,0.399,0,0.135,0.878,147.783,4,Punjabi
Patta Patta Singhan Da Vairi,Gurnam Bhullar,Patta Patta Singhan Da Vairi,Gurnam Bhullar,23-12-2016,2016,1,1,263863,263.863,4.397716667,FALSE,22,"desi pop,punjabi pop",0.722,0.729,11,-2.393,1,0.158,0.441,0,0.368,0.749,88.004,4,Punjabi
Guru Gobind Ji Pyare,Diljit Dosanjh,Sikh Vol 2,Diljit Dosanjh,12-04-2012,2012,1,1,237066,237.066,3.9511,FALSE,27,"desi pop,filmi,modern bollywood,punjabi pop",0.657,0.96,8,-2.344,0,0.105,0.192,2.07E-06,0.293,0.858,81.994,4,Punjabi
