Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Karuniso Ranga,Bhimsen Joshi,Hari Bhajane Maado,Bhimsen Joshi,07-03-1998,1998,1,4,582243,582.243,9.70405,FALSE,17,"filmi,ghazal,hindustani classical,hindustani vocal,indian classical,khayal,marathi traditional",0.356,0.68,6,-6.89,0,0.0315,0.623,0.00192,0.0925,0.452,84.827,4,Marathi
Kailasavaasa Gaurisha Isha,Bhimsen Joshi,Daaswani,Bhimsen Joshi,01-01-1998,1998,1,4,426560,426.56,7.109333333,FALSE,6,"filmi,ghazal,hindustani classical,hindustani vocal,indian classical,khayal,marathi traditional",0.5,0.489,2,-12.362,1,0.0308,0.762,0,0.292,0.557,82.839,5,Marathi
Bhagyada Lakshmi Baaramma Hari Bhajane Maado,Bhimsen Joshi,Hari Bhajane Maado,Bhimsen Joshi,07-03-1998,1998,1,1,978860,978.86,16.31433333,FALSE,11,"filmi,ghazal,hindustani classical,hindustani vocal,indian classical,khayal,marathi traditional",0.383,0.631,8,-8.721,1,0.0429,0.436,0,0.061,0.229,146.667,4,Marathi
Ashtavinayak Tuza Mahima Kasa,"Anuradha, Jaywant Kulkarni, Chanda Shekhar Gadgil, Pt. Sharad Jambhekar, Mallesh",Ashtavinayak,Various Artists,31-12-1979,1979,1,5,1116800,1116.8,18.61333333,FALSE,26,"odia bhajan,marathi traditional",0.481,0.434,8,-10.034,1,0.0995,0.953,0,0.0751,0.554,92.675,4,Marathi
Khel Mandala,Ajay Gogavale,Natarang,Ajay-Atul,01-01-2010,2010,1,5,287085,287.085,4.78475,FALSE,49,"desi pop,filmi,modern bollywood",0.384,0.416,1,-9.726,0,0.0543,0.273,0.00114,0.108,0.246,90.003,4,Marathi
Moraya Vinayaka,Shankar Mahadevan,Moraya Vinayaka,Shankar Mahadevan,09-09-2021,2021,1,1,233820,233.82,3.897,FALSE,13,"desi hip hop,desi pop,filmi,modern bollywood",0.384,0.665,2,-8.124,1,0.102,0.107,1.78E-06,0.124,0.246,74.912,4,Marathi
Tu Sukhkarta Tu Dukh Harta,"Vasantrao Deshpande, Rani Varma",Ashtavinayak,Various Artists,31-12-1979,1979,1,3,340986,340.986,5.6831,FALSE,25,"hindustani vocal,indian classical,marathi traditional",0.292,0.323,6,-16.149,1,0.0419,0.951,0.125,0.421,0.599,83.159,4,Marathi
Kanha Kanha Pukaru,Suresh Wadkar,Krishna Bhakti,"Suresh Wadkar, Dr. Dutta Harkare",21-08-2019,2019,1,1,350589,350.589,5.84315,FALSE,17,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.685,0.645,10,-7.135,1,0.0495,0.42,1.26E-05,0.104,0.881,76.46,4,Marathi
Kamalnayan Hari Tohari,Suresh Wadkar,Krishna Bhakti,"Suresh Wadkar, Dr. Dutta Harkare",21-08-2019,2019,1,2,314827,314.827,5.247116667,FALSE,15,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.788,0.585,8,-6.476,1,0.0277,0.27,0,0.0695,0.806,107.977,1,Marathi
Krishna Krishna More Krishna,Suresh Wadkar,Krishna Bhakti,"Suresh Wadkar, Dr. Dutta Harkare",21-08-2019,2019,1,4,485302,485.302,8.088366667,FALSE,15,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.425,0.298,4,-9.26,1,0.0296,0.613,0.000159,0.111,0.0948,124.647,3,Marathi
Shree Keeje Hanuman Lala,Suresh Wadkar,Hanuman Bhakti,Suresh Wadkar,29-03-2018,2018,1,1,363990,363.99,6.0665,FALSE,17,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.66,0.69,6,-7.574,1,0.108,0.48,0,0.0876,0.821,90.009,4,Marathi
Hanuman Chalisa - Raag Kalavati,Suresh Wadkar,Hanuman Bhakti,Suresh Wadkar,29-03-2018,2018,1,2,542197,542.197,9.036616667,FALSE,16,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.705,0.296,7,-13.205,1,0.0473,0.609,0,0.0808,0.516,120.037,4,Marathi
Pavan Sut Hanuman,"Suresh Wadkar, Sadhana Sargam",Hanuman Bhakti,Suresh Wadkar,29-03-2018,2018,1,3,441417,441.417,7.35695,FALSE,15,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood,classic bollywood,filmi,modern bollywood,tamil pop",0.68,0.621,6,-7.612,0,0.0359,0.512,0,0.15,0.796,129.933,1,Marathi
Mhari Araj Sunlo,"Suresh Wadkar, Sanjeev Kumar, Nikhil",Hanuman Bhakti,Suresh Wadkar,29-03-2018,2018,1,4,416600,416.6,6.943333333,FALSE,13,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood,tamil pop",0.527,0.321,1,-15.453,0,0.0448,0.377,0,0.102,0.796,80.819,4,Marathi
Jai Bajrangi,"Suresh Wadkar, Sanjeev Kumar, Nikhil",Hanuman Bhakti,Suresh Wadkar,29-03-2018,2018,1,5,369397,369.397,6.156616667,FALSE,12,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood,tamil pop",0.718,0.466,1,-13.755,1,0.0468,0.401,0,0.145,0.865,99.948,4,Marathi
Bhulokichya Vaikunteshwar,Suresh Wadkar,Omkar Swarupa Bhaktigeet,Suresh Wadkar,18-03-2015,2015,1,3,389459,389.459,6.490983333,FALSE,10,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.528,0.684,8,-6.885,0,0.0441,0.298,0,0.29,0.638,79.938,4,Marathi
Characharala Vyapun Urali,Suresh Wadkar,Shree Duttguru Bhaktigeete,Various Artists,13-10-2018,2018,1,6,321786,321.786,5.3631,FALSE,8,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.387,0.508,7,-10.657,1,0.0359,0.801,1.05E-05,0.172,0.642,92.86,4,Marathi
Uthi Uthi Baa Atrinandana,Suresh Wadkar,Shree Duttguru Bhaktigeete,Various Artists,13-10-2018,2018,1,9,270281,270.281,4.504683333,FALSE,8,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.525,0.604,8,-7.187,0,0.045,0.752,0,0.163,0.467,141.844,4,Marathi
Omkar Swarupa,Suresh Wadkar,Omkar Swarupa Bhaktigeet,Suresh Wadkar,18-03-2015,2015,1,10,503353,503.353,8.389216667,FALSE,10,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.748,0.32,2,-11.744,1,0.0361,0.253,0.00148,0.0619,0.597,116.185,3,Marathi
Aaj Anand Sohala,Suresh Wadkar,Omkar Swarupa Bhaktigeet,Suresh Wadkar,18-03-2015,2015,1,1,336561,336.561,5.60935,FALSE,6,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.761,0.685,8,-6.803,0,0.0496,0.409,0,0.103,0.846,95.951,4,Marathi
