Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
"Sundar Hoon Aesi Main, Pt. 1",Mohammed Rafi,Dil Ka Raaja (Original Motion Picture Soundtrack),R. D. Burman,01-01-1972,1972,1,1,321200,321.2,5.353333333,FALSE,0,"classic bollywood,classic tollywood,desi pop,filmi,sufi",0.465,0.513,8,-13.781,0,0.0806,0.746,0,0.144,0.795,89.219,4,Hindi
Samay Ki Pukar,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,1,248386,248.386,4.139766667,FALSE,3,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.642,0.57,2,-6.692,1,0.0529,0.745,0,0.211,0.541,77.082,4,Hindi
JoTujhse lagan Lagaaye,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,2,282653,282.653,4.710883333,FALSE,3,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.582,0.666,10,-7.9,1,0.0413,0.591,2.77E-06,0.164,0.561,134.012,4,Hindi
Shiv Ki Preet Ne Sikhlaaya,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,3,245506,245.506,4.091766667,FALSE,4,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.375,0.465,2,-6.897,1,0.0366,0.229,3.60E-06,0.0785,0.369,203.389,4,Hindi
Shiv Pita Ka Satya Gyan,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,4,235666,235.666,3.927766667,FALSE,3,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.803,0.546,7,-7.762,1,0.0353,0.0461,0,0.252,0.773,115.994,4,Hindi
Brahma Baba,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,5,275453,275.453,4.590883333,FALSE,2,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.67,0.616,4,-8.942,1,0.0622,0.486,4.28E-06,0.101,0.601,88.079,4,Hindi
Nisha Ki Bela Mein,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,6,388760,388.76,6.479333333,FALSE,5,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.539,0.492,5,-7.269,1,0.0298,0.657,0,0.128,0.423,143.894,4,Hindi
Sagar Padhariye,Jatin-Lalit,Samay Ki Pukar,Jatin-Lalit,11-11-2008,2008,1,7,252040,252.04,4.200666667,FALSE,4,"afghan pop,chutney,classic bollywood,desi pop,filmi,modern bollywood",0.672,0.389,7,-9.381,1,0.026,0.767,0,0.243,0.341,103.009,4,Hindi
The Way You Dream,"Michael Stipe, Asha Bhosle",1 Giant Leap,Various Artists,09-04-2002,2002,1,3,500733,500.733,8.34555,FALSE,40,"athens indie,chutney,classic bollywood,desi pop,filmi,sufi",0.482,0.584,2,-9.976,0,0.0412,0.464,0.0595,0.189,0.345,158.842,4,Hindi
Gangaji Ki Aarti,Jaspinder Narula,"Mataji Ki Aarti, Vol. 3",Various Artists,29-09-2016,2016,1,2,232124,232.124,3.868733333,FALSE,6,"classic bollywood,filmi",0.555,0.509,3,-9.98,1,0.0537,0.539,0,0.69,0.866,102.382,4,Hindi
Jai Ho Ganpati,Jaswant Sinha,Ganesh Chaturthi Special (Hindi Devotional Songs),Various Artists,01-07-2016,2016,1,6,553920,553.92,9.232,FALSE,11,Unknown,0.587,0.345,0,-14.881,1,0.0291,0.422,0,0.245,0.753,171.999,4,Hindi
Raghupati Raghav Raja Ram,Shankar Mahadevan,Gandhiji's Favourite Bhajans,Various Artists,24-09-2014,2014,1,1,550360,550.36,9.172666667,FALSE,5,"desi hip hop,desi pop,filmi,modern bollywood",0.482,0.65,1,-7.635,1,0.0518,0.473,0,0.0794,0.424,109.983,4,Hindi
Jheene Jheene Been Chadariya,Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,1,353013,353.013,5.88355,FALSE,0,"classic bollywood,desi pop,filmi",0.552,0.194,1,-15.558,1,0.0342,0.909,0.00282,0.0387,0.171,121.741,4,Hindi
Dinanath Ab Baari Tumhari,Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,4,301973,301.973,5.032883333,FALSE,0,"classic bollywood,desi pop,filmi",0.621,0.495,0,-7.366,1,0.0348,0.525,0.00011,0.147,0.53,87.054,4,Hindi
Naina Lobhi Re,Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,7,374253,374.253,6.23755,FALSE,0,"classic bollywood,desi pop,filmi",0.658,0.693,5,-6.598,1,0.0551,0.485,0.000817,0.0967,0.831,89.043,4,Hindi
Shyam Ghan Ghanshyam Barso,Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,11,341653,341.653,5.694216667,FALSE,0,"classic bollywood,desi pop,filmi",0.355,0.611,6,-7.029,1,0.0329,0.782,0,0.217,0.458,137.936,4,Hindi
"Yashomati Maiya Se Bole Nandlala - From ""Satyam Shivam Sundaram""","Lata Mangeshkar, Manna Dey",Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,12,226093,226.093,3.768216667,FALSE,0,"classic bollywood,desi pop,filmi,classic bollywood,filmi,ghazal,modern bollywood,rabindra sangeet",0.452,0.5,4,-8.797,0,0.0595,0.848,0,0.148,0.623,143.589,4,Hindi
"Bol Radha Shyam Diwani - From ""Tumhare Liye""",Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,15,323506,323.506,5.391766667,FALSE,0,"classic bollywood,desi pop,filmi",0.304,0.482,3,-11.332,1,0.0448,0.971,0.808,0.242,0.668,157.925,3,Hindi
"Kanha Kanha Aan Padi Main Tere Dwar - From ""Shagird""",Lata Mangeshkar,Bhajans by Lata Mangeshkar,Lata Mangeshkar,16-04-2015,2015,1,18,293893,293.893,4.898216667,FALSE,0,"classic bollywood,desi pop,filmi",0.353,0.407,8,-13.691,1,0.0454,0.948,0.147,0.592,0.449,80.885,4,Hindi
"Tumhi Meri Mandir - From ""Khandan""",Lata Mangeshkar,Lata Mangeshkar Sings for...,Lata Mangeshkar,16-04-2015,2015,1,6,350706,350.706,5.8451,FALSE,0,"classic bollywood,desi pop,filmi",0.498,0.374,4,-9.444,0,0.0448,0.987,0.0967,0.394,0.53,123.961,4,Hindi
Sai Rehem Nazar Karna,Lata Mangeshkar,30 Essential Divine Songs,"Lata Mangeshkar, Asha Bhosle, Usha Mangeshkar",14-04-2015,2015,1,1,130220,130.22,2.170333333,FALSE,3,"classic bollywood,desi pop,filmi",0.642,0.654,2,-6.206,1,0.0482,0.522,0,0.0994,0.607,127.966,4,Hindi
Jay Dev Jay Dev Datta Avadhoota,Lata Mangeshkar,30 Essential Divine Songs,"Lata Mangeshkar, Asha Bhosle, Usha Mangeshkar",14-04-2015,2015,1,10,145737,145.737,2.42895,FALSE,1,"classic bollywood,desi pop,filmi",0.557,0.452,8,-5.926,0,0.0336,0.544,0,0.144,0.697,164.072,3,Hindi
Vighna Harana Gajanan,Ganesha Bhajans,The Best Of Ganesha Bhajans,Ganesha Bhajans,01-01-1999,1999,1,8,403240,403.24,6.720666667,FALSE,20,"bhajan,mantra",0.361,0.312,5,-17.072,0,0.0381,0.785,3.55E-05,0.086,0.471,141.311,4,Hindi
Saajna Re,Gajendra Verma,Saajna Re,Gajendra Verma,02-01-2014,2014,1,1,237479,237.479,3.957983333,FALSE,35,"desi pop,filmi,modern bollywood",0.587,0.406,7,-9.41,1,0.0373,0.309,0,0.1,0.497,80.061,4,Hindi
51 SHAKTI PEETH PART 2,"Mahendra Kapoor, Alka Yagnik, Kavita Krishnamurthy",51 SHAKTI PEETH - Pt. 01,"Kavita Krishnamurthy, Mahendra Kapoor, Alka Yagnik",21-07-2020,2020,1,2,134667,134.667,2.24445,FALSE,2,"classic bollywood,filmi,ghazal,classic bollywood,desi pop,filmi,modern bollywood,classic bollywood,desi pop,filmi,modern bollywood",0.449,0.581,8,-10.989,1,0.097,0.404,0,0.064,0.315,124.051,4,Hindi
Bhaj Hare Krishna Jap Hare Krishna,Jagjit Singh,Jagjit Singh - Best of Me,Jagjit Singh,25-02-2013,2013,1,1,468879,468.879,7.81465,FALSE,3,"classic bollywood,desi pop,filmi,ghazal,sufi",0.734,0.529,7,-7.536,1,0.0336,0.604,0,0.111,0.725,117.997,4,Hindi
Lagan Bin,Jagjit Singh,Jagjit Singh - Best of Me,Jagjit Singh,25-02-2013,2013,1,6,351866,351.866,5.864433333,FALSE,1,"classic bollywood,desi pop,filmi,ghazal,sufi",0.617,0.507,6,-7.482,1,0.0345,0.853,2.73E-06,0.102,0.654,139.989,4,Hindi
Jai Ganesh Deva - Aarti,Jagjit Singh,Jagjit Singh - Best of Me,Jagjit Singh,25-02-2013,2013,1,15,408933,408.933,6.81555,FALSE,0,"classic bollywood,desi pop,filmi,ghazal,sufi",0.501,0.475,0,-6.265,1,0.0277,0.704,0,0.237,0.38,173.985,3,Hindi
